text,date,sentiment,title,url
"Fans of Hillary Clinton probably thought things couldn’t get any worse for her after losing the presidential election to Donald Trump and being investigated by the FBI. Unfortunately for them, they were dead wrong. Reports have surfaced that Guccifer 2.0 hacked into the Clinton Foundation database, and found some pretty disturbing evidence.
“Many of you have been waiting for this, some even asked me to do it,” he wrote after the hacking. “So, this is the moment. I hacked the Clinton Foundation sever and downloaded hundreds of thousands of docs and donors’ databases.”
According to the documents he released, between 2009 and 2011, big banks reportedly offered kickbacks to Democratic politicians through the Clinton Foundation to ensure that Barack Obama’s bailouts got approved. One of these politicians was Hillary Clinton.
“DEMOCRATS FUNNELED TARP FUNDS BACK TO THEIR PACS! That’s taxpayer bailout money that went right to the pockets of Democrat PACs!” Guccifer added.
This comes just days after a federal appeals court ruled that the US Attorney General could supervise the release of Clinton’s emails. The Daily Caller reported that the ruling overturned the ruling of a lower court that the review of her emails was sufficient. The case was brought forward by Judicial Watch, the conservative organization that has been attempting to get their hands on Clinton’s emails for months.
“The department has not explained hwy shaking the tree harder—e.g., by following the statutory mandate to seek action by the attorney general—might not bear more still,” the court’s ruling read. “Absent a showing that the requested enforcement action could not shake loose a few more emails, the case is not moot.”
This means that incoming Attorney General Jeff Sessions will have the ability to dive into the case, and potentially reopen the investigation.",2017-01-04 03:33:53+00:00,0.001439037,BREAKING: Clinton Foundation Hacked… But What They Found They Could Never Have Predicted,http://americannews.com/breaking-clinton-foundation-hacked-found-never-predicted/
"Last year, investigative author Ed Klein published a controversial tell-all book about Hillary Clinton, outlining some shocking speculations about her health. Now, Klein has come forward with claims that even former President Bill Clinton believed his wife was “in denial about her health problems.”
“Bill was so concerned (about her health) that he asked a well-known cardiologist to review Hillary’s medical records,” Klein claimed. “After looking over her cardiograms and X-rays and other records, the cardiologist recommended that Hillary travel with a full-time physicians who would keep her under constant observation.”
This doctor was later spotted with Clinton during campaign events, holding what looked like a syringe in his hand, Conservative Tribune reported.
Klein notes that Bill was scared to bring these issues up to his wife, because he was afraid of how she would react.
“Bill told me that he tiptoed into the dangerous territory of suggesting that maybe Hillary should rethink whether she had the physical stamina to take on the tortures of a presidential campaign,” Klein quoted a Clinton insider as saying.
Earlier this month, on his show “Adam and Dr. Drew Show”, Dr. Drew Pinsky expressed his fears about Clinton’s fragile condition.
“I still am worried about what her doctors are doing,” he said. “Doctors get turned on by taking care of special people: ‘They’re going to think I’m really good. How extraordinary, Hillary Clinton thinks I’m the best doctor in the land.’ They get turned on by it too much.”
Pinsky then expressed concerns that Hillary’s doctors were giving her “reckless” treatment that could be placing her life at risk.
What do you think of these claims? Is Clinton hiding her health issues from the American public?",2017-01-03 04:46:16+00:00,0.04077381,"Bill Clinton Slips Up, And Exposes What Was Really Going On With Hillary’s Health",http://americannews.com/bill-clinton-slips-exposes-really-going-hillarys-health/
"Hillary Clinton has pretty much gone into hiding ever since she lost the presidential election to Donald Trump six weeks ago. Unfortunately, it looks like Clinton’s hiatus was temporary—she took the time to post to her political supporters on Facebook on the day after Christmas.
“I believe it is our responsibility to keep doing our part to build a better, stronger, and fairer future for our country and the world,” Clinton wrote. “I wish you and your family health, happiness, and continued strength for the New Year and the work ahead. I look forward to staying in touch in 2017. Onward!”
Here’s the full post below:
According to reports from the Daily Caller, Clinton may be attempting to keep her supporters together for a presidential run in 2020. Sources close to the former Secretary of State say she is confident the American people will want her to step in and “defeat Trump.”
“She’s convinced that, soon than later, the voters will come to their senses and realize they made a horrible mistake by putting Trump in the White House,” the source told reporters. “She’s sure the votes will beg her to get in the race…”
What do you think? Are you ready to be done with Clinton once and for all?",2016-12-29 04:25:18+00:00,0.103914141,Hillary Clinton Makes Sick Announcement… It’s Not Over,http://americannews.com/hillary-clinton-makes-sick-announcement-not/
"Bill and Hillary Clinton have been in questionable legal standing ever since Bill was in the White House. Now, it appears that their daughter Chelsea is following in their footsteps.
Hillary found herself in serious hot water throughout her campaign for her questionable handling of the Clinton Foundation—a “charity” which many suspect is a pay-to-play scheme. Now, Chelsea’s role in the organization is coming to light, and it looks the apple doesn’t fall far from the tree. She was apparently using donation money to fund her own interests.
Leaked Clinton emails reveal that Chelsea diverted a significant amount of money from the charity to pay for her own extravagant wedding. Those dollars were supposed to be spent on providing healthcare to people in need throughout the world.
In a January 2012 email, Bill’s former top aide Doug Band referred to Chelsea’s reckless spending, comments that, “The investigation into her getting paid for campaigning, using foundation resources for her wedding and life for a decade, taxes on money from her parents.”
In an email to John Podesta, Band said, “I hope that you will speak to her and end this. Once we go down this road…” The email also commented on Chelsea telling George W. Bush’s daughters about her spending, saying, “The Bush kid then told someone else who told an operative within the Republican Party.”
What do you think? Do the Clintons deserve to be in prison for their criminal behavior?",2016-12-27 15:43:03+00:00,0.083479532,Chelsea Clinton Panicking After Being Exposed Literally Stealing From Charity,http://americannews.com/chelsea-clinton-panicking-exposed-literally-stealing-charity/
"The Attorney General is the top law enforcement officer of the United States, serving as the head of the Department of Justice. Throughout his presidency, Barack Obama has had two serve in his administration—Eric Holder, the first black Attorney General, is the only cabinet member in U.S. history to be held in contempt of Congress. He’s also the first AG to be held in both civil and criminal contempt.
Of course, despite bipartisan votes, Obama claimed executive privilege and did not prosecute Holder. Now, his successor, Loretta Lynch, is facing a lawsuit filed in federal court demanding answers about her secret meeting with Bill Clinton in her private plane, just days before his wife Hillary was interviewed.
Watch the latest video at video.foxnews.com
The American Center for Law and Justice filed the suit after Freedom of Information Act requests submitted to the DOJ and FBI were not fulfilled. The DOJ did not respond at all, and the FBI claimed there were “no records responsive” to the request.
“This Administration has gone out of its way to hide information from the American public—information that is extremely troubling,” Jay Sekulow, Chief Counsel of the ACLJ told reporters.
The lawsuit demands the release of any messages that Lynch and her staff exchanged about the “rendezvous” and the names of anyone at DOJ who knew of or communicated about the meeting. The private meeting lasted approximately 40 minutes while FBI security stood on the tarmac and kept the area free from curious eyes—and camera phones. Lynch swears the meeting was only about grandchildren and golf.
“The stakes are high,” Sekulow insists. “The American people deserve a Justice Department with integrity.”
Hopefully, under Donald Trump, American people will have a strong and fair Justice Department.",2016-12-24 03:23:57+00:00,0.064066667,THIS IS JUSTICE: Bill Clinton And Loretta Lynch Pay Big For DOJ Coverup,http://americannews.com/justice-bill-clinton-loretta-lynch-pay-big-doj-coverup/
"When Hillary Clinton lost the presidential election, Americans everywhere hoped that this would finally be the end to her political career. Now, rumors are circulating this week that Clinton has every intention of running for president again in 2020.
Conservative 101 reports that sources close to Clinton have confirmed she is keeping her 2016 campaign team intact so she can make an attempt at the presidency again—for the third time. She is reportedly so arrogant that she believes voters will welcome her with open arms in four years.
“She’s convinced that, sooner than later, the voters will come to their sense and realize they made a horrible mistake by putting [Donald] Trump in the White House,” the source said. “She’s sure the voters will beg her to get in the race and she says, ‘I’m going to run again in 2020.’”
“She told me—and I’m paraphrasing: ‘Trump has no idea what it’s like to run the biggest corporation in the world, the United States government,” the source added. “He has no f***ing idea how complicated it is, how many cogs are spinning at the same time, how many people are fighting at cross purposes, how much disinformation you get.”
The insider also claims Bill Clinton is against his wife’s idea, believing her chances at the White House are officially over.
If the rumors are true, this shows just how delusional Hillary Clinton really is. Even her most devoted supporters have likely lost faith in her ability to win and will be looking for a fresh face for their party.",2016-12-24 03:13:00+00:00,0.154347826,BREAKING: It’s Not Over… Hillary Clinton Just Dropped A Bombshell,http://americannews.com/breaking-not-hillary-clinton-just-dropped-bombshell/
"Going into the presidential election, Chelsea Clinton made it very clear that she did not consider Donald Trump to be a serious threat to her mother’s campaign. Clearly, her family has not accepted the fact that Trump is now our nation’s president-elect.
During a segment on Chelsea Handler’s show, Handler asked Chelsea, “How does it make you feel when you hear her opponent say things like ‘Crooked Hillary’ and the things he says about your mom? What does that do to you?”
“It’s important to take serious criticism from serious people seriously, and important to take unserious criticism from unserious people unseriously,” Chelsea responded. “For me, her opponent falls quite firmly in the second camp.”
“I remember even as a little kid in Arkansas, she’d be criticized for being too serious or not feminine enough; or how dare she be tackling education reform instead of just being a traditional first lady of Arkansas,” Chelsea commented.
“The person that I know is funny and carefree and hilarious,” Chelsea argued.
That’s when the issue of the Clinton Foundation closing down was raised. Watch how she responded below.",2016-12-19 04:51:17+00:00,-0.009459064,Chelsea Clinton Runs Filthy Mouth At Trump… Immediately Regrets It,http://americannews.com/chelsea-clinton-runs-filthy-mouth-trump-immediately-regrets/
"According to Gov. Terry McAuliffe, one of the Clinton’s closest friends, Bill and Hillary are ready to leave Washington behind them. That means Hillary Clinton could officially be done with politics. Finally.
Speaking to WTOP’s “Ask the Governor” program, McAuliffe commented: “I don’t think Hillary has any interest in running gain. I’ll let her speak for herself.”
But he didn’t stop there.
“I think the president’s probably going to go back, working on all the good deeds he’s done before in helping people around the globe,” he continued. “You know, there are elections. We’ve got to move forward. As governor of Virginia, I’ve got to move forward.”
McAuliffe also called the defeat “hard” and “very tough” for the Clintons.
“I mean, this is hard on anybody,” he argued. “I mean, can you imagine having to go through this? I’ve had many conversations with the Clinton family. We’re friends. It’s hard, very tough. I think on Election Day everybody felt pretty good. I think the Trump campaign though they were gonna lose.”
McAuliffe did express a willingness to work with President-elect Donald Trump, even though he clearly supported Clinton.
“I have known Donald Trump for 20 years, had dinner with him, golfed with him,” McAuliffe said, noting that Trump wrote him a $25,000 check when he was running for governor. “I look forward to a productive relationship.”
What do you think? Is it over for Hillary Clinton? Is it time for her supporters to just move on?",2016-12-18 03:54:38+00:00,-0.028819444,Hillary Rodham Clinton Finally Rises From Darkness To Reveal Massive Announcement,http://americannews.com/hillary-rodham-clinton-finally-rises-darkness-reveal-massive-announcement/
"It has been a rough year for the Clinton family—and it appears their troubles are far from over. According to reports, an Arkansas state senator is entertaining legislation that would change the name of Little Rock’s airport, removing Bill and Hillary Clinton’s names from it.”
“Would you support a bill removing the names of Bill & Hillary Clinton from the Little Rock Airport?” Sen. Jason Rapert asked on Twitter. “Arkansas does not support them.”
The tweet included a poll for users to vote for or against erasing the Clintons from Adams Field. At last count, 67 percent of those who responded were against removing the names. Rapert later confirmed that one of his colleagues in the Senate was considering introducing a bill that would rename the airport. He declined to identify the colleague.
We don’t know who Rapert was polling, but we definitely support the measure. The Clintons have been the source of major investigations—and the American people clearly do not identify with Bill and Hillary.
What do you think? Do the Clintons deserve an airport?",2016-12-06 17:22:39+00:00,0.044791667,Clintons To Be Removed From Arkansas Airport,http://americannews.com/clintons-removed-arkansas-airport/
"It has been a rough month for the Clinton family. Not only did Hillary Clinton lose the election to her rival, but the Clinton Foundation is quickly sinking along with her political career. Now, it appears even their income from paid speeches has taken a hit.
According to NY Post, donations to the Clinton Foundation took a nose dive last year and lasted through Hillary’s presidential run. The situation was amplified by pay-to-play allegations, internal struggles, and an investigation by a charity watchdog.
Contributions fell by nearly 37 percent, down to $108 million from $172 million just two years earlier.
Cash also plummeted when Hillary left the nonprofit in April 2015 to set her sights on the presidency. The foundation was brought up repeatedly throughout the race, with Donald Trump vowing to appoint a special prosecutor to investigate it.
Although Trump’s position on the matter has fluctuated, Rep. Jason Chaffetz of the House Oversight Committee insists a probe into the charity will continue.
The revenue the Clintons brought in from their public appearances and speeches also plunges, falling to $357,500 from $3.6 million in just one year.
When the Clinton Global Initiative held its annual conference in Fall of 2015, many donors had already bailed.
What do you think? Are the Clinton’s finally paying for their decades of manipulated, self-indulgent behavior?",2016-12-04 04:01:59+00:00,0.068994709,Clinton Foundation Is Crumbling… Bill And Hillary Finished,http://americannews.com/clinton-foundation-crumbling-bill-hillary-finished/
"Former Secretary of State Hillary Clinton was stunned when she lost the election to her opponent Donald Trump. That might have been an all time low for her—that is, until donation reports for the Clinton Foundation were released.
The Daily Caller recently reported that the foundation’s third quarter report revealed it only got five new donors during that time. This was likely devastating news to Hillary, who now depends on the foundation keeping her afloat.
The Los Angeles Times reported that one of the new donors is the Banc of California, which has “been rocked by allegations that it is connected to a convicted con artist.”
The bank was recently forced to admit to the SEC that they delayed their third quarter report in an effort to “allow for completion of a review into certain purported improper relationships and related party transactions.”
The bank reportedly donated between $1 and 5 million to the Clinton Foundation.
Another new donor is British banker Sir Evelyn de Rothschild, part of one of the wealthiest and most secretive families in the world. The Rothschilds have been fundraising for the Clintons for decades, and once held a $100,000 per head dinner for Hillary at their estate in Martha’s Vineyard.
Other donors included Dominican billionaire Frank Rainieri, Michael Sacks, a close friend of Rahm Emmanuel, and eccentric billionaire Bobby Sager.
What do you think? Are people finally losing faith in the Clintons?",2016-11-23 07:24:10+00:00,-0.018255608,Clinton Foundation May Have To Close Down… Hillary Panicking,http://americannews.com/clinton-foundation-may-close-hillary-panicking/
"Going into the presidential election, Chelsea Clinton made it very clear that she did not consider Donald Trump to be a serious threat to her mother’s campaign.
During a segment on Chelsea Handler’s show, Handler asked Chelsea, “How does it make you feel when you hear her opponent say things like ‘Crooked Hillary’ and the things he says about your mom? What does that do to you?”
“It’s important to take serious criticism from serious people seriously, and important to take unserious criticism from unserious people unseriously,” Chelsea responded. “For me, her opponent falls quite firmly in the second camp.”
“I remember even as a little kid in Arkansas, she’d be criticized for being too serious or not feminine enough; or how dare she be tackling education reform instead of just being a traditional first lady of Arkansas,” Chelsea commented.
“The person that I know is funny and carefree and hilarious,” Chelsea argued.
That’s when the issue of the Clinton Foundation closing down was raised. Watch how she responded below.
We’re sure she’s stunned to have Donald Trump as our country’s president-elect.",2016-11-19 20:50:46+00:00,0.011593567,Chelsea Clinton Meets Her Worst Nightmare After Attacking Trump,http://americannews.com/chelsea-clinton-meets-her-worst-nightmare-after-attacking-trump/
